seq,module_path,op,mapping,optimization_flags,total_cycles,base_total_cycles,serial_total_cycles,compute_cycles,fallback_cycles,snapshot_cycles,requant_cycles,write_cycles,base_write_cycles,activation_read_cycles,base_activation_read_cycles,weight_read_cycles,base_weight_read_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes,pipeline_guard_cycles
107,vision_encoder.backbone.layer.0.mlp.down_proj,GEMM_W8A16,rtl_gemm,overlap,839936,1714192,1714192,839936,,1088,12528,12528,12528,801792,801792,835584,835584,615776256,272,1603584,2359296,400896,0
108,vision_encoder.backbone.layer.1.norm1,LAYER_NORM,rtl_vector,overlap,100224,100224,,,100224,,,,,,,,,,,801792,,801792,
109,vision_encoder.backbone.layer.1.attention.q_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
110,vision_encoder.backbone.layer.1.attention.k_proj,GEMM_W8A16,rtl_gemm,overlap,213248,448288,448288,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
111,vision_encoder.backbone.layer.1.attention.v_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
112,vision_encoder.backbone.layer.1.attention.o_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
113,vision_encoder.backbone.layer.1.norm2,LAYER_NORM,rtl_vector,overlap,100224,100224,,,100224,,,,,,,,,,,801792,,801792,
114,vision_encoder.backbone.layer.1.mlp.up_proj,GEMM_W8A16,rtl_gemm,overlap,852992,1843264,1843264,852992,,4352,50112,50112,50112,801792,801792,835584,835584,615776256,1088,400896,2359296,1603584,0
115,vision_encoder.backbone.layer.1.mlp.down_proj,GEMM_W8A16,rtl_gemm,overlap,839936,1714192,1714192,839936,,1088,12528,12528,12528,801792,801792,835584,835584,615776256,272,1603584,2359296,400896,0
116,vision_encoder.backbone.layer.2.norm1,LAYER_NORM,rtl_vector,overlap,100224,100224,,,100224,,,,,,,,,,,801792,,801792,
117,vision_encoder.backbone.layer.2.attention.q_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
118,vision_encoder.backbone.layer.2.attention.k_proj,GEMM_W8A16,rtl_gemm,overlap,213248,448288,448288,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
